fecha,p (mbar),T (degC),Tdew (degC),rh (%),wd (deg)
2014-03-07 09:00:00,1001.18,-0.66,-0.78,99.1,170.4
2014-03-07 10:00:00,1000.73,0.42,0.35,99.5,211.2
2014-03-07 11:00:00,1000.24,4.09,3.82,98.1,202.3
2014-03-07 12:00:00,999.68,8.01,5.72,85.4,81.1
2014-03-07 13:00:00,999.16,9.97,3.25,62.9,62.67
2014-03-07 14:00:00,998.94,10.48,2.27,56.7,16.13
2014-03-07 15:00:00,998.7,10.21,1.54,54.78,40.32
2014-03-07 16:00:00,998.34,10.13,1.21,53.78,12.79
2014-03-07 17:00:00,998.48,9.73,1.4,55.98,334.1
2014-03-07 18:00:00,998.93,8.65,1.34,59.99,342.9
2014-03-07 19:00:00,999.57,7.2,1.73,68.12,22.06
2014-03-07 20:00:00,999.29,5.56,1.41,74.5,203.7
2014-03-07 21:00:00,999.58,5.8,1.69,74.8,9.67
2014-03-07 22:00:00,1000.17,4.72,1.66,80.5,205.1
2014-03-07 23:00:00,1001.08,4.92,1.72,79.7,153.4
2014-03-08 00:00:00,1000.84,3.65,1.44,85.4,131.3
2014-03-08 01:00:00,1001.54,3.39,1.31,86.2,208.9
2014-03-08 02:00:00,1002.52,2.95,1.14,87.8,25.3
2014-03-08 03:00:00,1003.1,1.82,0.49,90.8,169.9
2014-03-08 04:00:00,1003.91,1.24,0.29,93.3,142.4
2014-03-08 05:00:00,1004.7,1.39,0.28,92.3,21.69
2014-03-08 06:00:00,1005.55,1.36,0.04,90.9,198.0
2014-03-08 07:00:00,1006.12,1.66,0.25,90.3,169.0
2014-03-08 08:00:00,1006.8,2.71,0.74,86.8,136.5
2014-03-08 09:00:00,1007.17,4.14,1.47,82.7,150.3
2014-03-08 10:00:00,1007.13,5.35,2.42,81.3,147.5
2014-03-08 11:00:00,1007.39,7.54,3.67,76.4,186.6
2014-03-08 12:00:00,1007.21,8.99,4.87,75.3,206.9
2014-03-08 13:00:00,1006.93,9.6,4.64,71.1,111.3
2014-03-08 14:00:00,1006.76,10.39,4.99,69.12,124.7
2014-03-08 15:00:00,1006.33,10.96,5.2,67.54,28.02
2014-03-08 16:00:00,1006.07,10.39,4.89,68.62,35.58
2014-03-08 17:00:00,1006.19,9.75,4.82,71.3,53.23
2014-03-08 18:00:00,1006.55,9.07,4.66,73.8,49.71
2014-03-08 19:00:00,1006.86,8.21,4.38,76.7,61.82
2014-03-08 20:00:00,1007.01,7.22,4.07,80.3,209.6
2014-03-08 21:00:00,1007.03,6.67,3.77,81.7,226.7
2014-03-08 22:00:00,1007.0,4.39,3.03,90.8,258.9
2014-03-08 23:00:00,1006.77,2.5,1.64,94.0,212.2
2014-03-09 00:00:00,1006.48,1.88,1.31,96.0,155.1
2014-03-09 01:00:00,1006.31,0.96,0.49,96.7,147.2
2014-03-09 02:00:00,1005.95,0.43,0.09,97.6,209.8
2014-03-09 03:00:00,1005.69,0.29,0.07,98.4,211.9
2014-03-09 04:00:00,1005.59,-0.09,-0.29,98.5,155.6
2014-03-09 05:00:00,1005.61,-0.4,-0.55,98.9,160.8
2014-03-09 06:00:00,1005.61,-0.78,-0.92,99.0,209.8
2014-03-09 07:00:00,1005.92,-1.39,-1.53,99.0,208.9
2014-03-09 08:00:00,1006.12,-0.94,-1.1,98.8,202.2
2014-03-09 09:00:00,1005.97,0.45,0.34,99.2,186.6
2014-03-09 10:00:00,1005.97,4.65,4.4,98.2,209.1
2014-03-09 11:00:00,1005.76,9.63,5.56,75.7,153.8
2014-03-09 12:00:00,1005.45,13.71,3.87,51.32,134.0
2014-03-09 13:00:00,1004.96,16.51,3.6,42.04,189.2
2014-03-09 14:00:00,1004.41,18.47,3.09,35.83,137.9
2014-03-09 15:00:00,1003.98,19.02,3.28,35.09,60.99
2014-03-09 16:00:00,1003.61,19.33,3.53,35.04,204.9
2014-03-09 17:00:00,1003.6,16.91,3.6,40.98,180.1
2014-03-09 18:00:00,1003.72,14.84,3.06,45.05,19.42
2014-03-09 19:00:00,1003.9,13.8,2.51,46.34,19.13
2014-03-09 20:00:00,1003.75,10.44,2.68,58.52,63.22
2014-03-09 21:00:00,1003.61,8.42,2.29,65.21,206.1
2014-03-09 22:00:00,1003.74,6.21,1.95,74.1,149.1
2014-03-09 23:00:00,1003.53,4.81,1.8,80.8,181.9
2014-03-10 00:00:00,1003.01,4.34,1.61,82.4,220.9
2014-03-10 01:00:00,1002.51,2.58,0.85,88.3,174.1
2014-03-10 02:00:00,1002.0,1.98,0.58,90.4,155.4
2014-03-10 03:00:00,1001.36,1.0,-0.1,92.3,147.5
2014-03-10 04:00:00,1001.17,0.27,-0.78,92.6,185.1
2014-03-10 05:00:00,1000.87,-0.29,-1.13,94.0,136.1
2014-03-10 06:00:00,1000.39,-0.92,-1.6,95.1,127.7
2014-03-10 07:00:00,1000.23,0.39,-0.76,92.0,89.9
2014-03-10 08:00:00,1000.3,3.25,-0.52,76.2,181.3
2014-03-10 09:00:00,999.67,5.62,0.4,68.99,166.2
2014-03-10 10:00:00,999.3,9.95,1.65,56.17,168.4
2014-03-10 11:00:00,998.45,13.61,1.58,43.87,149.6
2014-03-10 12:00:00,998.0,15.46,0.84,36.9,165.5
2014-03-10 13:00:00,997.56,16.69,1.07,34.68,148.6
2014-03-10 14:00:00,997.08,17.56,0.17,30.75,154.5
2014-03-10 15:00:00,996.96,16.8,3.01,39.6,24.61
2014-03-10 16:00:00,996.94,16.13,2.37,39.46,22.43
2014-03-10 17:00:00,997.1,14.75,2.2,42.62,21.19
2014-03-10 18:00:00,997.44,13.57,1.93,45.11,39.72
2014-03-10 19:00:00,997.58,11.72,1.88,50.76,13.9
2014-03-10 20:00:00,997.98,9.31,1.89,59.66,337.0
2014-03-10 21:00:00,998.22,8.35,1.46,61.76,114.8
2014-03-10 22:00:00,998.38,6.83,0.76,65.1,101.2
2014-03-10 23:00:00,998.81,5.19,0.78,73.1,216.8
2014-03-11 00:00:00,999.01,4.25,0.46,76.3,32.45
2014-03-11 01:00:00,999.39,4.03,0.46,77.5,132.5
2014-03-11 02:00:00,1000.1,1.52,-0.46,86.6,170.1
2014-03-11 03:00:00,1000.18,2.14,-0.06,85.3,71.3
2014-03-11 04:00:00,1000.52,0.77,-0.9,88.5,165.1
2014-03-11 05:00:00,1001.07,0.16,-1.15,90.8,222.9
2014-03-11 06:00:00,1001.62,-0.18,-1.52,90.6,193.6
2014-03-11 07:00:00,1002.46,0.33,-1.25,89.1,158.1
2014-03-11 08:00:00,1003.09,2.14,-0.63,81.8,126.9
2014-03-11 09:00:00,1003.69,5.69,0.72,70.3,147.3
2014-03-11 10:00:00,1004.12,6.92,1.73,69.44,29.88
2014-03-11 11:00:00,1004.29,8.72,2.58,65.25,45.71
2014-03-11 12:00:00,1004.18,10.87,3.34,59.6,41.86
2014-03-11 13:00:00,1003.68,12.21,2.77,52.39,41.27
2014-03-11 14:00:00,1003.59,12.38,3.43,54.27,48.05
2014-03-11 15:00:00,1003.79,12.28,3.31,54.19,41.18
2014-03-11 16:00:00,1004.1,11.34,3.66,59.11,27.45
2014-03-11 17:00:00,1004.46,10.34,4.07,65.03,24.17
2014-03-11 18:00:00,1005.08,9.11,4.28,71.7,21.4
2014-03-11 19:00:00,1005.63,8.39,4.79,78.0,332.1
2014-03-11 20:00:00,1005.95,8.16,5.18,81.4,338.1
2014-03-11 21:00:00,1006.35,7.68,5.0,83.1,19.22
2014-03-11 22:00:00,1006.69,5.27,3.63,89.1,62.21
2014-03-11 23:00:00,1006.99,4.41,3.1,91.2,178.4
2014-03-12 00:00:00,1006.88,3.19,2.25,93.5,204.5
2014-03-12 01:00:00,1006.81,2.25,1.58,95.3,202.7
2014-03-12 02:00:00,1006.69,1.46,0.78,95.2,155.7
2014-03-12 03:00:00,1006.66,1.44,0.7,94.8,33.23
2014-03-12 04:00:00,1006.8,0.96,0.48,96.6,14.85
2014-03-12 05:00:00,1006.83,0.48,0.2,98.0,228.9
2014-03-12 06:00:00,1007.2,0.06,-0.17,98.3,266.4
2014-03-12 07:00:00,1007.31,0.19,0.01,98.7,243.6
2014-03-12 08:00:00,1007.82,0.4,0.24,98.9,242.2
2014-03-12 09:00:00,1008.22,1.09,0.93,98.9,177.4
2014-03-12 10:00:00,1008.3,2.6,2.38,98.4,148.9
2014-03-12 11:00:00,1007.8,5.45,5.13,97.8,130.7
2014-03-12 12:00:00,1007.33,8.01,5.68,85.2,128.6
2014-03-12 13:00:00,1006.36,11.26,0.99,49.09,31.0
2014-03-12 14:00:00,1005.63,12.58,-2.75,34.16,54.22
2014-03-12 15:00:00,1004.99,13.3,-3.13,31.68,68.42
2014-03-12 16:00:00,1004.72,13.53,-2.91,31.74,69.22
2014-03-12 17:00:00,1004.36,12.55,-2.04,36.09,54.13
2014-03-12 18:00:00,1004.58,11.17,-1.65,40.71,17.56
2014-03-12 19:00:00,1004.79,10.08,-1.32,44.87,357.6
2014-03-12 20:00:00,1004.72,8.15,-1.11,51.89,23.81
2014-03-12 21:00:00,1004.61,6.67,-0.94,58.16,55.83
2014-03-12 22:00:00,1004.56,4.98,-1.37,63.36,223.8
2014-03-12 23:00:00,1004.42,3.49,-1.08,71.9,203.9
2014-03-13 00:00:00,1004.09,2.35,-1.61,75.0,105.6
2014-03-13 01:00:00,1003.86,1.79,-1.33,79.7,157.4
2014-03-13 02:00:00,1003.33,0.94,-1.84,81.6,204.3
2014-03-13 03:00:00,1002.92,0.74,-1.9,82.4,217.5
2014-03-13 04:00:00,1002.76,-0.5,-2.4,86.9,153.6
2014-03-13 05:00:00,1002.76,-1.07,-2.58,89.4,208.6
2014-03-13 06:00:00,1002.52,-1.32,-2.71,90.2,155.9
2014-03-13 07:00:00,1002.53,-0.16,-2.45,84.4,187.5
2014-03-13 08:00:00,1002.76,1.93,-1.69,76.8,139.2
2014-03-13 09:00:00,1002.69,4.73,-0.47,68.89,153.5
2014-03-13 10:00:00,1002.17,8.41,0.91,59.09,99.5
2014-03-13 11:00:00,1001.95,11.97,2.1,50.71,137.4
2014-03-13 12:00:00,1001.36,15.11,2.36,42.12,110.4
2014-03-13 13:00:00,1000.64,16.53,2.61,39.14,330.9
2014-03-13 14:00:00,999.99,16.9,2.67,38.4,344.9
2014-03-13 15:00:00,999.38,17.69,3.11,37.68,308.7
2014-03-13 16:00:00,998.98,17.38,3.14,38.51,356.7
2014-03-13 17:00:00,998.79,16.38,1.71,37.04,297.8
2014-03-13 18:00:00,998.94,14.89,2.49,43.11,278.8
2014-03-13 19:00:00,999.36,12.38,2.48,50.73,40.27
2014-03-13 20:00:00,999.61,10.76,1.56,52.88,229.8
2014-03-13 21:00:00,999.91,8.48,1.55,61.6,156.3
2014-03-13 22:00:00,1000.27,7.31,1.65,67.19,120.9
2014-03-13 23:00:00,1000.4,5.51,0.88,72.0,186.8
2014-03-14 00:00:00,1000.29,4.8,0.56,73.9,214.3
2014-03-14 01:00:00,1000.48,3.55,0.3,79.2,258.6
2014-03-14 02:00:00,1000.43,2.2,0.0,85.3,115.0
2014-03-14 03:00:00,1000.55,1.66,-0.16,87.6,208.2
2014-03-14 04:00:00,1000.54,0.9,-0.41,90.9,220.6
2014-03-14 05:00:00,1000.3,0.07,-1.34,90.2,151.8
2014-03-14 06:00:00,1000.36,0.25,-0.84,92.3,158.3
2014-03-14 07:00:00,1000.71,0.27,-1.29,89.2,217.6
2014-03-14 08:00:00,1001.15,2.54,-0.41,80.8,134.8
2014-03-14 09:00:00,1000.9,5.37,0.63,71.4,96.8
2014-03-14 10:00:00,1000.28,7.93,1.53,63.86,120.3
2014-03-14 11:00:00,999.56,11.2,2.17,53.66,134.6
2014-03-14 12:00:00,998.55,13.31,2.16,46.66,142.7
2014-03-14 13:00:00,997.39,14.9,2.22,42.25,169.1
2014-03-14 14:00:00,996.55,15.74,1.81,38.88,108.6
2014-03-14 15:00:00,995.66,16.03,1.62,37.64,79.2
2014-03-14 16:00:00,994.6,16.59,2.07,37.52,22.27
2014-03-14 17:00:00,993.89,15.29,2.17,41.05,45.5
2014-03-14 18:00:00,993.55,13.86,2.92,47.52,261.1
2014-03-14 19:00:00,993.09,11.52,2.38,53.31,234.4
2014-03-14 20:00:00,992.92,10.02,1.01,53.39,234.8
2014-03-14 21:00:00,992.39,7.28,1.3,65.64,154.9
2014-03-14 22:00:00,991.02,5.61,1.21,73.2,183.1
2014-03-14 23:00:00,990.23,6.06,1.29,71.4,119.6
2014-03-15 00:00:00,989.28,6.74,0.72,65.37,142.0
2014-03-15 01:00:00,988.19,7.68,-0.44,56.31,131.3
2014-03-15 02:00:00,987.82,9.87,-1.9,43.58,267.1
2014-03-15 03:00:00,986.0,11.14,-0.32,44.96,255.3
2014-03-15 04:00:00,985.77,10.47,1.25,52.72,251.9
2014-03-15 05:00:00,986.11,10.09,2.61,59.62,255.7
2014-03-15 06:00:00,986.02,9.62,3.12,63.78,254.2
2014-03-15 07:00:00,986.22,9.36,3.49,66.66,286.9
2014-03-15 08:00:00,986.69,8.01,4.55,78.7,295.7
2014-03-15 09:00:00,987.62,5.57,3.41,85.9,284.6
2014-03-15 10:00:00,987.41,5.77,3.57,85.7,267.1
2014-03-15 11:00:00,988.41,7.14,2.7,73.3,265.3
2014-03-15 12:00:00,989.12,6.86,2.65,74.5,281.1
2014-03-15 13:00:00,988.95,8.06,1.98,65.36,281.5
2014-03-15 14:00:00,989.34,7.79,2.12,67.24,279.1
2014-03-15 15:00:00,989.23,8.87,1.51,59.81,267.0
2014-03-15 16:00:00,989.29,8.59,1.23,59.76,276.4
2014-03-15 17:00:00,989.67,7.95,1.37,63.02,273.9
2014-03-15 18:00:00,989.88,7.55,0.89,62.58,240.0
2014-03-15 19:00:00,990.23,7.33,1.11,64.56,250.7
2014-03-15 20:00:00,989.93,7.24,1.52,66.89,210.2
2014-03-15 21:00:00,989.74,7.25,1.61,67.28,203.0
2014-03-15 22:00:00,989.58,7.48,1.02,63.47,250.4
2014-03-15 23:00:00,988.54,7.45,1.13,64.1,248.0
2014-03-16 00:00:00,987.91,7.33,1.71,67.4,231.3
2014-03-16 01:00:00,986.73,7.09,2.58,72.9,240.4
2014-03-16 02:00:00,985.5,6.96,3.33,77.6,226.0
2014-03-16 03:00:00,984.6,7.89,3.9,75.8,248.1
2014-03-16 04:00:00,983.99,8.72,4.59,75.2,250.6
2014-03-16 05:00:00,983.77,8.86,5.19,77.7,253.0
2014-03-16 06:00:00,984.28,9.04,5.6,79.0,257.4
2014-03-16 07:00:00,984.45,9.22,6.0,80.2,252.4
2014-03-16 08:00:00,984.99,9.88,6.24,78.0,255.0
2014-03-16 09:00:00,985.07,10.17,6.61,78.5,250.6
2014-03-16 10:00:00,984.87,10.33,6.84,78.9,255.3
2014-03-16 11:00:00,985.87,10.71,6.97,77.6,267.0
2014-03-16 12:00:00,986.13,11.08,7.42,78.1,271.3
2014-03-16 13:00:00,985.96,11.59,7.55,76.2,274.6
2014-03-16 14:00:00,986.65,11.13,7.41,77.8,264.4
2014-03-16 15:00:00,987.02,10.81,7.47,79.8,255.3
2014-03-16 16:00:00,987.58,9.82,7.61,86.1,256.0
2014-03-16 17:00:00,987.89,9.72,7.68,87.1,259.0
2014-03-16 18:00:00,988.52,9.79,7.5,85.6,260.4
2014-03-16 19:00:00,988.78,10.19,7.26,82.0,254.6
2014-03-16 20:00:00,989.36,10.32,7.19,80.9,261.1
2014-03-16 21:00:00,989.4,10.65,6.7,76.5,258.0
2014-03-16 22:00:00,989.61,10.56,6.19,74.3,254.6
2014-03-16 23:00:00,989.59,9.91,5.43,73.6,214.6
2014-03-17 00:00:00,989.71,9.69,5.26,73.8,241.7
2014-03-17 01:00:00,990.52,9.35,4.54,71.8,296.5
2014-03-17 02:00:00,990.17,8.95,4.07,71.4,233.5
2014-03-17 03:00:00,989.65,8.99,4.48,73.3,224.5
2014-03-17 04:00:00,989.26,9.16,4.8,74.1,232.7
2014-03-17 05:00:00,989.37,9.1,4.74,74.1,232.4
2014-03-17 06:00:00,989.49,9.58,5.15,73.8,229.9
2014-03-17 07:00:00,989.75,10.05,5.11,71.3,207.7
2014-03-17 08:00:00,990.21,10.38,5.28,70.6,234.3
2014-03-17 09:00:00,990.43,10.81,5.14,67.93,266.0
2014-03-17 10:00:00,990.63,11.19,4.85,64.89,264.3
2014-03-17 11:00:00,991.04,10.93,4.75,65.58,266.7
2014-03-17 12:00:00,991.12,11.17,4.74,64.47,275.7
2014-03-17 13:00:00,990.94,11.46,4.75,63.3,258.2
2014-03-17 14:00:00,991.0,11.25,4.33,62.34,286.3
2014-03-17 15:00:00,991.06,11.18,4.41,62.96,278.6
2014-03-17 16:00:00,991.2,11.34,4.31,61.88,287.1
2014-03-17 17:00:00,991.41,11.0,3.65,60.4,279.9
2014-03-17 18:00:00,991.84,10.32,3.36,61.9,268.9
2014-03-17 19:00:00,992.32,9.97,3.45,63.78,257.5
2014-03-17 20:00:00,992.36,9.54,3.54,66.1,172.8
2014-03-17 21:00:00,992.39,9.2,3.23,66.15,238.5
2014-03-17 22:00:00,992.04,9.26,3.24,65.93,236.9
2014-03-17 23:00:00,991.8,9.0,3.81,69.84,245.3
2014-03-18 00:00:00,991.58,9.06,4.06,70.8,224.9
2014-03-18 01:00:00,991.61,8.96,4.0,71.0,241.5
2014-03-18 02:00:00,990.94,8.56,3.76,71.7,240.2
2014-03-18 03:00:00,990.71,8.34,3.49,71.4,240.2
2014-03-18 04:00:00,990.21,8.21,3.12,70.2,239.8
2014-03-18 05:00:00,989.86,8.14,3.21,71.0,231.1
2014-03-18 06:00:00,989.85,8.09,3.09,70.6,169.4
2014-03-18 07:00:00,989.62,8.14,2.93,69.57,198.2
2014-03-18 08:00:00,989.29,8.77,3.27,68.27,197.8
2014-03-18 09:00:00,989.08,9.92,3.54,64.4,209.3
2014-03-18 10:00:00,988.89,10.87,3.59,60.67,252.0
2014-03-18 11:00:00,988.5,11.32,3.71,59.4,251.3
2014-03-18 12:00:00,987.91,11.94,3.95,57.97,242.0
2014-03-18 13:00:00,987.03,12.53,4.29,57.1,222.8
2014-03-18 14:00:00,986.01,12.68,4.71,58.25,211.1
2014-03-18 15:00:00,985.21,12.53,5.52,62.26,209.8
2014-03-18 16:00:00,984.98,11.13,6.62,73.7,213.7
2014-03-18 17:00:00,984.91,10.83,6.61,75.1,207.7
2014-03-18 18:00:00,984.59,10.66,6.58,75.8,208.2
2014-03-18 19:00:00,984.86,10.56,6.54,76.1,230.2
2014-03-18 20:00:00,985.33,9.7,6.8,82.1,249.2
2014-03-18 21:00:00,985.17,9.59,5.77,77.0,238.1
2014-03-18 22:00:00,985.39,9.63,5.66,76.2,229.0
2014-03-18 23:00:00,985.65,9.27,5.0,74.6,222.3
2014-03-19 00:00:00,985.97,9.4,4.16,69.7,248.4
2014-03-19 01:00:00,985.93,8.93,3.56,68.96,252.6
2014-03-19 02:00:00,986.34,9.1,3.43,67.57,251.0
2014-03-19 03:00:00,986.65,8.01,3.09,71.0,236.8
2014-03-19 04:00:00,987.62,7.79,3.48,74.1,259.2
2014-03-19 05:00:00,988.43,8.09,3.92,74.9,251.5
2014-03-19 06:00:00,989.83,8.04,3.78,74.4,255.6
2014-03-19 07:00:00,990.71,7.87,3.95,76.2,244.9
2014-03-19 08:00:00,991.78,8.47,4.25,74.7,251.9
2014-03-19 09:00:00,992.68,9.6,4.58,70.8,249.9
2014-03-19 10:00:00,992.84,10.33,4.52,67.17,258.6
2014-03-19 11:00:00,993.3,10.72,4.21,64.01,250.0
2014-03-19 12:00:00,993.84,10.44,4.38,66.03,265.5
2014-03-19 13:00:00,994.1,10.5,4.27,65.24,234.7
2014-03-19 14:00:00,993.86,11.62,4.73,62.55,226.8
2014-03-19 15:00:00,993.9,12.39,4.81,59.79,245.8
2014-03-19 16:00:00,993.69,13.17,4.68,56.28,217.0
2014-03-19 17:00:00,994.14,12.66,4.26,56.49,225.2
2014-03-19 18:00:00,994.5,11.81,3.83,57.97,233.3
2014-03-19 19:00:00,994.95,11.4,4.06,60.54,193.9
2014-03-19 20:00:00,995.13,10.88,4.28,63.63,212.5
2014-03-19 21:00:00,995.28,10.62,4.38,65.23,189.2
2014-03-19 22:00:00,995.22,11.09,4.45,63.52,208.0
2014-03-19 23:00:00,995.09,10.76,4.41,64.76,196.2
2014-03-20 00:00:00,994.84,10.34,4.37,66.42,206.8
2014-03-20 01:00:00,994.8,9.88,4.29,68.11,205.1
2014-03-20 02:00:00,994.77,9.24,4.09,70.1,190.0
2014-03-20 03:00:00,994.68,8.42,3.93,73.3,190.5
2014-03-20 04:00:00,994.61,6.93,3.45,78.4,151.2
2014-03-20 05:00:00,994.33,6.33,3.26,80.7,175.0
2014-03-20 06:00:00,994.45,5.88,3.07,82.1,182.7
2014-03-20 07:00:00,994.74,5.58,2.95,83.1,207.2
2014-03-20 08:00:00,994.92,8.07,3.77,74.2,156.4
2014-03-20 09:00:00,994.68,12.07,4.54,59.91,167.1
2014-03-20 10:00:00,994.15,14.8,4.5,50.0,151.0
2014-03-20 11:00:00,993.84,15.63,4.38,47.0,144.0
2014-03-20 12:00:00,993.06,17.93,2.51,35.56,204.3
2014-03-20 13:00:00,992.18,18.95,3.81,36.6,153.2
2014-03-20 14:00:00,991.02,19.44,2.83,33.1,160.9
2014-03-20 15:00:00,990.1,19.82,1.17,28.71,165.1
2014-03-20 16:00:00,989.14,20.03,2.15,30.41,183.3
2014-03-20 17:00:00,988.31,20.0,2.2,30.57,170.9
2014-03-20 18:00:00,987.75,18.38,2.29,34.04,189.0
2014-03-20 19:00:00,986.78,16.83,2.31,37.59,188.5
2014-03-20 20:00:00,986.62,16.64,1.74,36.52,187.5
2014-03-20 21:00:00,985.94,15.64,1.75,38.96,184.8
2014-03-20 22:00:00,985.51,16.04,2.59,40.34,181.6
2014-03-20 23:00:00,985.14,15.91,3.0,41.86,211.8
2014-03-21 00:00:00,984.7,15.21,2.93,43.57,181.0
2014-03-21 01:00:00,984.43,15.49,2.73,42.19,201.7
2014-03-21 02:00:00,984.2,14.61,2.72,44.62,206.5
2014-03-21 03:00:00,983.75,13.88,2.78,46.97,176.2
2014-03-21 04:00:00,983.58,12.7,2.62,50.16,188.7
2014-03-21 05:00:00,983.56,12.44,2.65,51.16,187.9
2014-03-21 06:00:00,983.35,12.25,2.8,52.36,186.1
2014-03-21 07:00:00,983.46,12.51,3.2,52.96,200.7
2014-03-21 08:00:00,983.24,15.47,4.84,49.04,179.0
2014-03-21 09:00:00,982.87,17.01,5.92,47.92,205.0
2014-03-21 10:00:00,982.6,17.59,6.47,48.0,205.0
2014-03-21 11:00:00,982.04,18.14,6.5,46.45,214.8
2014-03-21 12:00:00,981.38,18.87,5.92,42.64,217.0
2014-03-21 13:00:00,980.78,19.2,5.09,39.41,211.0
2014-03-21 14:00:00,980.55,19.73,4.94,37.75,214.2
2014-03-21 15:00:00,980.06,19.85,4.95,37.49,212.1
2014-03-21 16:00:00,980.06,19.53,4.34,36.63,213.9
2014-03-21 17:00:00,980.74,18.15,4.79,41.22,215.7
2014-03-21 18:00:00,981.88,16.8,4.73,44.71,220.9
2014-03-21 19:00:00,982.62,15.59,4.87,48.78,237.0
2014-03-21 20:00:00,983.85,13.58,5.72,58.93,312.3
2014-03-21 21:00:00,984.27,11.59,5.42,65.77,279.2
2014-03-21 22:00:00,984.7,9.37,4.99,74.0,229.8
2014-03-21 23:00:00,984.71,8.22,4.14,75.4,285.2
2014-03-22 00:00:00,984.01,7.94,4.28,77.6,326.6
2014-03-22 01:00:00,983.77,8.14,4.58,78.2,2.25
2014-03-22 02:00:00,982.85,8.01,4.24,77.0,55.56
2014-03-22 03:00:00,981.65,8.11,3.85,74.4,177.3
2014-03-22 04:00:00,981.28,8.1,3.93,74.9,285.4
2014-03-22 05:00:00,980.68,7.72,5.55,86.1,133.7
2014-03-22 06:00:00,980.05,7.55,5.76,88.4,187.7
2014-03-22 07:00:00,979.65,7.72,6.35,91.0,230.5
2014-03-22 08:00:00,979.46,8.08,6.54,90.0,199.8
2014-03-22 09:00:00,979.05,9.69,7.04,83.5,186.6
2014-03-22 10:00:00,978.83,10.5,8.13,85.2,192.4
2014-03-22 11:00:00,978.22,11.55,8.88,83.6,201.5
2014-03-22 12:00:00,978.61,8.86,7.02,88.2,228.4
2014-03-22 13:00:00,978.05,10.5,7.83,83.5,203.0
2014-03-22 14:00:00,977.95,10.52,6.4,75.6,199.7
2014-03-22 15:00:00,977.8,9.96,5.48,73.6,213.1
2014-03-22 16:00:00,977.32,10.85,5.06,67.36,205.8
2014-03-22 17:00:00,976.9,10.44,4.84,68.19,212.3
2014-03-22 18:00:00,976.56,9.83,4.82,70.9,199.8
2014-03-22 19:00:00,976.53,9.49,4.83,72.6,195.7
2014-03-22 20:00:00,976.95,8.73,4.67,75.6,196.6
2014-03-22 21:00:00,977.01,8.56,4.45,75.3,211.8
2014-03-22 22:00:00,977.08,8.45,4.35,75.3,216.9
2014-03-22 23:00:00,976.92,8.58,4.36,74.7,199.4
2014-03-23 00:00:00,977.46,7.66,4.67,81.3,287.9
2014-03-23 01:00:00,977.67,6.65,3.42,79.8,252.3
2014-03-23 02:00:00,977.87,6.19,2.81,78.9,257.5
2014-03-23 03:00:00,978.3,5.84,2.2,77.4,259.2
2014-03-23 04:00:00,978.42,5.24,1.64,77.5,270.4
2014-03-23 05:00:00,978.82,4.81,1.28,77.8,239.3
2014-03-23 06:00:00,978.79,4.31,1.11,79.6,249.0
2014-03-23 07:00:00,979.01,4.26,1.01,79.3,241.1
2014-03-23 08:00:00,979.64,4.34,1.16,79.7,217.7
2014-03-23 09:00:00,979.72,5.07,1.66,78.5,141.3
2014-03-23 10:00:00,979.62,5.88,1.88,75.4,232.8
2014-03-23 11:00:00,979.3,7.32,1.68,67.29,211.6
2014-03-23 12:00:00,979.35,7.85,1.73,65.11,250.3
2014-03-23 13:00:00,979.05,8.32,1.43,61.74,300.7
2014-03-23 14:00:00,978.9,8.08,1.34,62.35,27.75
2014-03-23 15:00:00,979.05,8.5,0.94,58.84,282.9
2014-03-23 16:00:00,979.11,8.16,1.33,61.94,27.25
2014-03-23 17:00:00,979.31,8.03,1.31,62.4,358.0
2014-03-23 18:00:00,979.67,7.94,1.5,63.65,335.2
2014-03-23 19:00:00,980.11,7.47,1.24,64.53,293.9
2014-03-23 20:00:00,980.43,7.04,0.78,64.27,283.4
2014-03-23 21:00:00,980.37,5.05,1.02,75.1,29.69
2014-03-23 22:00:00,980.87,3.59,-0.12,76.6,213.0
2014-03-23 23:00:00,981.37,2.41,-0.41,81.5,195.5
2014-03-24 00:00:00,981.09,2.31,0.2,85.9,110.7
2014-03-24 01:00:00,981.27,1.94,0.06,87.3,176.6
2014-03-24 02:00:00,981.27,3.93,0.72,79.5,239.8
2014-03-24 03:00:00,981.63,3.42,0.8,82.9,130.9
2014-03-24 04:00:00,982.05,2.47,0.46,86.5,167.0
2014-03-24 05:00:00,982.44,2.59,0.66,87.0,130.0
2014-03-24 06:00:00,982.74,3.38,0.9,83.7,242.7
2014-03-24 07:00:00,983.35,2.74,1.04,88.5,251.4
2014-03-24 08:00:00,984.08,3.09,1.43,88.8,250.0
2014-03-24 09:00:00,984.41,4.31,1.74,83.3,255.0
2014-03-24 10:00:00,984.81,4.28,1.41,81.5,270.4
2014-03-24 11:00:00,985.01,4.86,1.62,79.5,303.7
2014-03-24 12:00:00,984.84,6.71,1.17,67.63,286.8
2014-03-24 13:00:00,984.76,6.43,0.44,65.38,250.0
2014-03-24 14:00:00,984.52,7.51,0.13,59.36,293.4
2014-03-24 15:00:00,984.16,7.95,-0.37,55.56,320.8
2014-03-24 16:00:00,983.6,8.49,-1.75,48.39,249.9
2014-03-24 17:00:00,984.09,7.29,-0.76,56.46,248.9
